PON: 0/1/1:1 | Nama: NA | MAC: 48:fd:8e:6a:39:4f | Data: 0/1/1:1,NA,48:fd:8e:6a:39:4f,Down,NA,NA,NA,NA,NA,NA,NA,0,199
PON: 0/1/1:2 | Nama: NA | MAC: 74:b5:7e:3a:f1:2f | Data: 0/1/1:2,NA,74:b5:7e:3a:f1:2f,Down,NA,NA,NA,NA,NA,NA,NA,0,380
PON: 0/1/1:3 | Nama: NA | MAC: 5c:54:6d:09:4a:72 | Data: 0/1/1:3,NA,5c:54:6d:09:4a:72,Down,NA,NA,NA,NA,NA,NA,NA,0,223
PON: 0/1/1:4 | Nama: NA | MAC: dc:71:37:89:38:87 | Data: 0/1/1:4,NA,dc:71:37:89:38:87,Down,NA,NA,NA,NA,NA,NA,NA,-14.83,479
PON: 0/1/1:5 | Nama: NA | MAC: 1c:78:4e:ee:6b:10 | Data: 0/1/1:5,NA,1c:78:4e:ee:6b:10,Down,NA,NA,NA,NA,NA,NA,NA,0,218
PON: 0/1/1:6 | Nama: FQ-102@270424/ODP11 | MAC: b0:30:55:e9:fb:58 | Data: 0/1/1:6,FQ-102@270424/ODP11,b0:30:55:e9:fb:58,Down,NA,NA,NA,NA,NA,NA,NA,0,247
PON: 0/1/1:7 | Nama: NA | MAC: 48:a7:4e:8b:8a:b2 | Data: 0/1/1:7,NA,48:a7:4e:8b:8a:b2,Down,NA,NA,NA,NA,NA,NA,NA,0,179
PON: 0/1/1:8 | Nama: NA | MAC: 2c:ab:00:1a:01:bb | Data: 0/1/1:8,NA,2c:ab:00:1a:01:bb,Down,NA,NA,NA,NA,NA,NA,NA,0,176
PON: 0/1/1:9 | Nama: NA | MAC: a0:9b:12:d4:1b:08 | Data: 0/1/1:9,NA,a0:9b:12:d4:1b:08,Down,NA,NA,NA,NA,NA,NA,NA,0,217
PON: 0/1/1:10 | Nama: FQ-032@10821/ODP9 | MAC: d4:7e:e4:ce:37:10 | Data: 0/1/1:10,FQ-032@10821/ODP9,d4:7e:e4:ce:37:10,Down,NA,NA,NA,NA,NA,NA,NA,0,213
PON: 0/1/1:11 | Nama: NA | MAC: 44:22:95:5d:99:70 | Data: 0/1/1:11,NA,44:22:95:5d:99:70,Down,NA,NA,NA,NA,NA,NA,NA,0,217
PON: 0/1/1:12 | Nama: NA | MAC: e4:47:b3:90:7c:b7 | Data: 0/1/1:12,NA,e4:47:b3:90:7c:b7,Down,NA,NA,NA,NA,NA,NA,NA,0,97
PON: 0/1/1:13 | Nama: NA | MAC: d4:7e:e4:53:51:88 | Data: 0/1/1:13,NA,d4:7e:e4:53:51:88,Down,NA,NA,NA,NA,NA,NA,NA,0,258
PON: 0/1/1:14 | Nama: NA | MAC: 2c:33:41:34:7f:c6 | Data: 0/1/1:14,NA,2c:33:41:34:7f:c6,Down,NA,NA,NA,NA,NA,NA,NA,0,246
