PON: 0/1/1:1 | Nama: NA | MAC: 18:69:da:fc:35:18 | Data: 0/1/1:1,NA,18:69:da:fc:35:18,Down,NA,NA,NA,NA,NA,NA,NA,0,368
PON: 0/1/1:2 | Nama: NA | MAC: 48:a7:4e:74:86:82 | Data: 0/1/1:2,NA,48:a7:4e:74:86:82,Down,NA,NA,NA,NA,NA,NA,NA,0,568
PON: 0/1/1:3 | Nama: NA | MAC: c4:a3:66:9f:27:80 | Data: 0/1/1:3,NA,c4:a3:66:9f:27:80,Down,NA,NA,NA,NA,NA,NA,NA,0,1230
PON: 0/1/1:4 | Nama: NA | MAC: 2c:33:41:46:89:c1 | Data: 0/1/1:4,NA,2c:33:41:46:89:c1,Down,NA,NA,NA,NA,NA,NA,NA,0,1156
PON: 0/1/1:5 | Nama: NA | MAC: 8c:8f:8b:46:63:d7 | Data: 0/1/1:5,NA,8c:8f:8b:46:63:d7,Down,NA,NA,NA,NA,NA,NA,NA,0,448
PON: 0/1/1:6 | Nama: NA | MAC: 74:b5:7e:3a:ec:9f | Data: 0/1/1:6,NA,74:b5:7e:3a:ec:9f,Down,NA,NA,NA,NA,NA,NA,NA,0,354
PON: 0/1/1:7 | Nama: NA | MAC: 14:ad:ca:fa:75:18 | Data: 0/1/1:7,NA,14:ad:ca:fa:75:18,Down,NA,NA,NA,NA,NA,NA,NA,0,466
PON: 0/1/1:8 | Nama: NA | MAC: fc:f2:9f:cf:e3:18 | Data: 0/1/1:8,NA,fc:f2:9f:cf:e3:18,Down,NA,NA,NA,NA,NA,NA,NA,0,452
PON: 0/1/1:9 | Nama: NA | MAC: 14:ad:ca:8f:db:a6 | Data: 0/1/1:9,NA,14:ad:ca:8f:db:a6,Down,NA,NA,NA,NA,NA,NA,NA,0,385
PON: 0/1/1:10 | Nama: NA | MAC: bc:76:c5:8d:bf:2c | Data: 0/1/1:10,NA,bc:76:c5:8d:bf:2c,Down,NA,NA,NA,NA,NA,NA,NA,0,401
PON: 0/1/1:11 | Nama: NA | MAC: 50:55:8d:30:f3:98 | Data: 0/1/1:11,NA,50:55:8d:30:f3:98,Down,NA,NA,NA,NA,NA,NA,NA,0,1280
PON: 0/1/1:12 | Nama: NA | MAC: d4:7e:e4:ce:37:10 | Data: 0/1/1:12,NA,d4:7e:e4:ce:37:10,Down,NA,NA,NA,NA,NA,NA,NA,0,380
