PON: 0/1/1:1 | Nama: NA | MAC: e8:43:68:8f:2d:27 | Data: 0/1/1:1,NA,e8:43:68:8f:2d:27,PwrDown,NA,NA,NA,NA,NA,NA,NA,-17.85,176
PON: 0/1/1:2 | Nama: NA | MAC: 94:bf:80:10:20:b7 | Data: 0/1/1:2,NA,94:bf:80:10:20:b7,Up,NA,NA,NA,NA,NA,NA,NA,-18.73,176
PON: 0/1/1:3 | Nama: NA | MAC: 50:55:8d:1c:5e:e5 | Data: 0/1/1:3,NA,50:55:8d:1c:5e:e5,PwrDown,NA,NA,NA,NA,NA,NA,NA,-17.67,176
PON: 0/1/1:5 | Nama: NA | MAC: 44:22:95:5d:99:70 | Data: 0/1/1:5,NA,44:22:95:5d:99:70,Up,NA,NA,NA,NA,NA,NA,NA,-18.07,206
PON: 0/1/2:1 | Nama: NA | MAC: 90:fd:73:0a:6e:5c | Data: 0/1/2:1,NA,90:fd:73:0a:6e:5c,Up,NA,NA,NA,NA,NA,NA,NA,-26.58,133
PON: 0/1/2:2 | Nama: NA | MAC: fc:8e:5b:ea:40:c0 | Data: 0/1/2:2,NA,fc:8e:5b:ea:40:c0,Down,NA,NA,NA,NA,NA,NA,NA,0,199
PON: 0/1/2:8 | Nama: NA | MAC: 78:2e:56:42:68:33 | Data: 0/1/2:8,NA,78:2e:56:42:68:33,Up,NA,NA,NA,NA,NA,NA,NA,-15.83,212
PON: 0/1/2:11 | Nama: NA | MAC: 74:b5:7e:3a:f0:7f | Data: 0/1/2:11,NA,74:b5:7e:3a:f0:7f,Up,NA,NA,NA,NA,NA,NA,NA,-23.01,152
PON: 0/1/2:12 | Nama: NA | MAC: 64:58:ad:26:f4:10 | Data: 0/1/2:12,NA,64:58:ad:26:f4:10,Up,NA,NA,NA,NA,NA,NA,NA,-24.56,127
PON: 0/1/2:15 | Nama: NA | MAC: d4:9e:05:ef:00:9e | Data: 0/1/2:15,NA,d4:9e:05:ef:00:9e,Up,NA,NA,NA,NA,NA,NA,NA,-23.77,200
PON: 0/1/2:21 | Nama: NA | MAC: fc:8e:5b:53:eb:40 | Data: 0/1/2:21,NA,fc:8e:5b:53:eb:40,Up,NA,NA,NA,NA,NA,NA,NA,-24.95,124
PON: 0/1/2:22 | Nama: NA | MAC: 44:22:95:64:0d:c8 | Data: 0/1/2:22,NA,44:22:95:64:0d:c8,Up,NA,NA,NA,NA,NA,NA,NA,-17.17,114
PON: 0/1/2:23 | Nama: NA | MAC: 64:58:ad:01:81:88 | Data: 0/1/2:23,NA,64:58:ad:01:81:88,Up,NA,NA,NA,NA,NA,NA,NA,-23.28,146
PON: 0/1/2:25 | Nama: NA | MAC: 6c:d2:ba:00:94:a7 | Data: 0/1/2:25,NA,6c:d2:ba:00:94:a7,Up,NA,NA,NA,NA,NA,NA,NA,-22.52,200
PON: 0/1/2:26 | Nama: NA | MAC: c4:27:28:17:9d:2d | Data: 0/1/2:26,NA,c4:27:28:17:9d:2d,Up,NA,NA,NA,NA,NA,NA,NA,-22.76,191
PON: 0/1/2:29 | Nama: NA | MAC: b0:30:55:e9:fb:58 | Data: 0/1/2:29,NA,b0:30:55:e9:fb:58,Up,NA,NA,NA,NA,NA,NA,NA,-25.09,170
PON: 0/1/2:30 | Nama: NA | MAC: 1c:78:4e:4c:93:30 | Data: 0/1/2:30,NA,1c:78:4e:4c:93:30,Up,NA,NA,NA,NA,NA,NA,NA,-30.00,199
PON: 0/1/2:32 | Nama: NA | MAC: 1c:27:04:bb:9b:d0 | Data: 0/1/2:32,NA,1c:27:04:bb:9b:d0,Up,NA,NA,NA,NA,NA,NA,NA,-27.21,231
PON: 0/1/2:33 | Nama: NA | MAC: a0:9b:12:50:4b:a0 | Data: 0/1/2:33,NA,a0:9b:12:50:4b:a0,Up,NA,NA,NA,NA,NA,NA,NA,-23.37,200
