PON: 0/1/1:1 | Nama: NA | MAC: 48:a7:4e:8b:8a:b2 | Data: 0/1/1:1,NA,48:a7:4e:8b:8a:b2,Up,NA,NA,NA,NA,NA,NA,NA,-33.01,593
PON: 0/1/1:2 | Nama: NA | MAC: 5c:3a:3d:77:e5:87 | Data: 0/1/1:2,NA,5c:3a:3d:77:e5:87,Up,NA,NA,NA,NA,NA,NA,NA,-29.21,667
PON: 0/1/1:3 | Nama: NA | MAC: 00:1a:69:5d:cc:1b | Data: 0/1/1:3,NA,00:1a:69:5d:cc:1b,Up,NA,NA,NA,NA,NA,NA,NA,-28.54,668
PON: 0/1/1:4 | Nama: NA | MAC: 2c:33:41:3d:de:77 | Data: 0/1/1:4,NA,2c:33:41:3d:de:77,PwrDown,NA,NA,NA,NA,NA,NA,NA,-26.38,668
PON: 0/1/1:5 | Nama: NA | MAC: a0:9b:12:cd:90:88 | Data: 0/1/1:5,NA,a0:9b:12:cd:90:88,PwrDown,NA,NA,NA,NA,NA,NA,NA,-28.86,688
PON: 0/1/1:6 | Nama: NA | MAC: fc:8e:5b:9c:28:f0 | Data: 0/1/1:6,NA,fc:8e:5b:9c:28:f0,PwrDown,NA,NA,NA,NA,NA,NA,NA,-28.24,672
PON: 0/1/1:7 | Nama: NA | MAC: fc:f2:9f:b0:a2:c0 | Data: 0/1/1:7,NA,fc:f2:9f:b0:a2:c0,Up,NA,NA,NA,NA,NA,NA,NA,-25.53,691
PON: 0/1/1:8 | Nama: NA | MAC: 44:22:95:55:d9:c8 | Data: 0/1/1:8,NA,44:22:95:55:d9:c8,Up,NA,NA,NA,NA,NA,NA,NA,-21.25,690
PON: 0/1/1:9 | Nama: NA | MAC: 50:78:b3:14:0d:42 | Data: 0/1/1:9,NA,50:78:b3:14:0d:42,Down,NA,NA,NA,NA,NA,NA,NA,-27.21,720
PON: 0/1/1:10 | Nama: NA | MAC: b0:30:55:70:db:88 | Data: 0/1/1:10,NA,b0:30:55:70:db:88,Down,NA,NA,NA,NA,NA,NA,NA,-31.55,670
PON: 0/1/1:11 | Nama: NA | MAC: fc:f2:9f:e2:23:c0 | Data: 0/1/1:11,NA,fc:f2:9f:e2:23:c0,PwrDown,NA,NA,NA,NA,NA,NA,NA,-30.46,656
