PON: 1/2/1:1 | Nama: NA | MAC: NA | Data: 1/2/1:1,NA,NA,Down,ZTE-F601,ZTEGCA147F54,NA,NA,NA,NA,NA,0,6.554
PON: 1/2/1:2 | Nama: NA | MAC: NA | Data: 1/2/1:2,NA,NA,Down,ZTE-F601,ZTEGCB9A6FC1,NA,NA,NA,NA,NA,0,6.554
PON: 1/2/1:3 | Nama: NA | MAC: e8:6e:44:9e:d3:d8 | Data: 1/2/1:3,NA,e8:6e:44:9e:d3:d8,Up,ZTE-F601,ZTEGD065058F,NA,NA,NA,NA,NA,-15.424,6.554
PON: 1/2/1:4 | Nama: NA | MAC: NA | Data: 1/2/1:4,NA,NA,Down,ZTE-F601,ZTEGD05AF40F,NA,NA,NA,NA,NA,0,6.541
PON: 1/2/1:5 | Nama: NA | MAC: f8:6c:e1:8c:67:2e | Data: 1/2/1:5,NA,f8:6c:e1:8c:67:2e,Up,ZTE-F601,ZICG298C672D,NA,NA,NA,NA,NA,-14.172,6.554
PON: 1/2/1:6 | Nama: NA | MAC: NA | Data: 1/2/1:6,NA,NA,Down,ZTE-F601,ZTEGC7A8D89D,NA,NA,NA,NA,NA,0,6.554
PON: 1/2/1:7 | Nama: NA | MAC: NA | Data: 1/2/1:7,NA,NA,Down,ZTE-F601,ZTEGCD0248BC,NA,NA,NA,NA,NA,0,6.554
PON: 1/2/1:8 | Nama: NA | MAC: NA | Data: 1/2/1:8,NA,NA,Down,ZTE-F601,CIOT16B44D70,NA,NA,NA,NA,NA,0,6.554
PON: 1/2/1:9 | Nama: NA | MAC: NA | Data: 1/2/1:9,NA,NA,Down,ZTE-F601,CIOT12D3D8F0,NA,NA,NA,NA,NA,0,6.554
PON: 1/2/1:10 | Nama: NA | MAC: NA | Data: 1/2/1:10,NA,NA,Down,ZTE-F601,CIOT10CF45F8,NA,NA,NA,NA,NA,0,6.554
PON: 1/2/1:11 | Nama: NA | MAC: 1c:78:4e:36:ff:d0 | Data: 1/2/1:11,NA,1c:78:4e:36:ff:d0,Up,ZTE-F601,CIOT1436FFD0,NA,NA,NA,NA,NA,-17.458,6.554
PON: 1/2/1:12 | Nama: NA | MAC: e4:47:b3:81:31:e9 | Data: 1/2/1:12,NA,e4:47:b3:81:31:e9,Up,ZTE-F601,ZTEGCC4032FC,NA,NA,NA,NA,NA,-14.865,6.554
PON: 1/2/1:13 | Nama: NA | MAC: NA | Data: 1/2/1:13,NA,NA,Down,ZTE-F601,ZTEGCA8233AB,NA,NA,NA,NA,NA,0,6.554
PON: 1/2/1:14 | Nama: NA | MAC: 1c:78:4e:06:08:70 | Data: 1/2/1:14,NA,1c:78:4e:06:08:70,Up,ZTE-F601,CIOT14060870,NA,NA,NA,NA,NA,-14.423,6.554
PON: 1/2/1:15 | Nama: NA | MAC: NA | Data: 1/2/1:15,NA,NA,Down,ZTE-F601,ZTEGD148F770,NA,NA,NA,NA,NA,0,6.554
PON: 1/2/1:16 | Nama: NA | MAC: NA | Data: 1/2/1:16,NA,NA,Down,ZTE-F601,CIOT12E496A8,NA,NA,NA,NA,NA,0,6.554
PON: 1/2/1:17 | Nama: NA | MAC: NA | Data: 1/2/1:17,NA,NA,Down,ZTE-F601,CIOT16829338,NA,NA,NA,NA,NA,0,6.554
PON: 1/2/1:18 | Nama: NA | MAC: NA | Data: 1/2/1:18,NA,NA,Down,ZTE-F601,CIOT0901E3C0,NA,NA,NA,NA,NA,0,6.554
PON: 1/2/1:19 | Nama: NA | MAC: NA | Data: 1/2/1:19,NA,NA,Down,ZTE-F601,CIOT21671E20,NA,NA,NA,NA,NA,0,6.554
PON: 1/2/1:20 | Nama: NA | MAC: 68:8b:0f:db:03:f0 | Data: 1/2/1:20,NA,68:8b:0f:db:03:f0,Up,ZTE-F601,CIOT10DB03F0,NA,NA,NA,NA,NA,-18.407,6.554
PON: 1/2/1:21 | Nama: NA | MAC: NA | Data: 1/2/1:21,NA,NA,Down,ZTE-F601,CIOT13EAADB0,NA,NA,NA,NA,NA,0,6.554
PON: 1/2/1:22 | Nama: NA | MAC: 8c:8f:8b:bb:f4:db | Data: 1/2/1:22,NA,8c:8f:8b:bb:f4:db,Up,ZTE-F601,GGCL08BBF4DA,NA,NA,NA,NA,NA,-18.425,6.554
PON: 1/2/1:23 | Nama: NA | MAC: fc:8e:5b:f8:46:20 | Data: 1/2/1:23,NA,fc:8e:5b:f8:46:20,Up,ZTE-F601,CIOT15F84620,NA,NA,NA,NA,NA,-18.825,6.554
PON: 1/2/1:24 | Nama: NA | MAC: 14:ad:ca:c9:a7:08 | Data: 1/2/1:24,NA,14:ad:ca:c9:a7:08,Up,ZTE-F601,CIOT12C9A708,NA,NA,NA,NA,NA,-14.969,6.554
PON: 1/2/1:25 | Nama: NA | MAC: NA | Data: 1/2/1:25,NA,NA,Down,ZTE-F601,ZTEGD1487B89,NA,NA,NA,NA,NA,0,6.554
PON: 1/2/1:26 | Nama: NA | MAC: 50:70:97:53:ce:53 | Data: 1/2/1:26,NA,50:70:97:53:ce:53,Up,ZTE-F601,GGCLA453CE52,NA,NA,NA,NA,NA,-20.552,6.554
PON: 1/2/1:27 | Nama: NA | MAC: NA | Data: 1/2/1:27,NA,NA,Down,ZTE-F601,ZTEGCB97E094,NA,NA,NA,NA,NA,0,6.554
PON: 1/2/1:28 | Nama: NA | MAC: fc:f2:9f:cf:a2:78 | Data: 1/2/1:28,NA,fc:f2:9f:cf:a2:78,Up,ZTE-F601,CIOT16CFA278,NA,NA,NA,NA,NA,-16.315,6.554
