ZTE ONU STATE | HOST: 103.103.115.218:2200

*************************************************************************
Welcome to ZXAN product C320 of ZTE Corporation
*************************************************************************

Last login time is 05.05.2026-23:41:58-UTC, 0 authentication failures happened s
ince that time.
Username:
Password:
% The password is not strong, please change the password.

ZXAN#
===== CMD: terminal length 0 =====

ZXAN#
===== CMD: show gpon onu state =====

OnuIndex   Admin State  OMCC State  Phase State  Channel    
--------------------------------------------------------------
1/2/1:1     enable       disable     OffLine      1(GPON)
1/2/1:2     enable       disable     OffLine      1(GPON)
1/2/1:3     enable       enable      working      1(GPON)
1/2/1:4     enable       disable     OffLine      1(GPON)
1/2/1:5     enable       enable      working      1(GPON)
1/2/1:6     enable       disable     OffLine      1(GPON)
1/2/1:7     enable       disable     OffLine      1(GPON)
1/2/1:8     enable       disable     OffLine      1(GPON)
1/2/1:9     enable       disable     OffLine      1(GPON)
1/2/1:10    enable       disable     OffLine      1(GPON)
1/2/1:11    enable       enable      working      1(GPON)
1/2/1:12    enable       enable      working      1(GPON)
1/2/1:13    enable       disable     OffLine      1(GPON)
1/2/1:14    enable       enable      working      1(GPON)
1/2/1:15    enable       disable     OffLine      1(GPON)
1/2/1:16    enable       disable     OffLine      1(GPON)
1/2/1:17    enable       disable     OffLine      1(GPON)
1/2/1:18    enable       disable     OffLine      1(GPON)
1/2/1:19    enable       disable     OffLine      1(GPON)
1/2/1:20    enable       enable      working      1(GPON)
1/2/1:21    enable       disable     OffLine      1(GPON)
1/2/1:22    enable       enable      working      1(GPON)
1/2/1:23    enable       enable      working      1(GPON)
1/2/1:24    enable       enable      working      1(GPON)
1/2/1:25    enable       disable     OffLine      1(GPON)
1/2/1:26    enable       enable      working      1(GPON)
1/2/1:27    enable       disable     OffLine      1(GPON)
1/2/1:28    enable       enable      working      1(GPON)
1/2/1:29    enable       disable     OffLine      1(GPON)
1/2/1:30    enable       disable     OffLine      1(GPON)
1/2/1:31    enable       disable     OffLine      1(GPON)
1/2/1:32    enable       enable      working      1(GPON)
1/2/1:33    enable       enable      working      1(GPON)
1/2/1:34    enable       enable      working      1(GPON)
1/2/1:35    enable       enable      working      1(GPON)
1/2/2:1     enable       disable     OffLine      1(GPON)
1/2/2:2     enable       disable     OffLine      1(GPON)
1/2/2:3     enable       disable     OffLine      1(GPON)
1/2/2:4     enable       disable     OffLine      1(GPON)
1/2/2:5     enable       disable     OffLine      1(GPON)
1/2/2:6     enable       enable      working      1(GPON)
1/2/2:7     enable       disable     OffLine      1(GPON)
1/2/2:8     enable       enable      working      1(GPON)
1/2/2:9     enable       disable     OffLine      1(GPON)
1/2/2:10    enable       disable     OffLine      1(GPON)
1/2/2:11    enable       disable     OffLine      1(GPON)
1/2/2:12    enable       disable     OffLine      1(GPON)
1/2/2:14    enable       enable      working      1(GPON)
1/2/2:15    enable       disable     OffLine      1(GPON)
1/2/2:16    enable       enable      working      1(GPON)
1/2/2:17    enable       enable      working      1(GPON)
1/2/2:18    enable       enable      working      1(GPON)
1/2/2:19    enable       disable     DyingGasp    1(GPON)
1/2/2:20    enable       disable     OffLine      1(GPON)
1/2/2:21    enable       disable     OffLine      1(GPON)
1/2/2:22    enable       enable      working      1(GPON)
1/2/2:23    enable       disable     OffLine      1(GPON)
1/2/2:24    enable       disable     OffLine      1(GPON)
1/2/2:25    enable       enable      working      1(GPON)
1/2/2:26    enable       disable     OffLine      1(GPON)
1/2/2:27    enable       disable     OffLine      1(GPON)
1/2/2:28    enable       disable     OffLine      1(GPON)
1/2/2:31    enable       disable     OffLine      1(GPON)
1/2/2:32    enable       disable     OffLine      1(GPON)
1/2/2:33    enable       enable      working      1(GPON)
1/2/2:34    enable       enable      working      1(GPON)
1/2/2:35    enable       enable      working      1(GPON)
1/2/2:36    enable       disable     OffLine      1(GPON)
1/2/2:37    enable       disable     OffLine      1(GPON)
1/2/2:38    enable       enable      working      1(GPON)
1/2/2:39    enable       disable     OffLine      1(GPON)
1/2/2:40    enable       enable      working      1(GPON)
1/2/2:41    enable       disable     OffLine      1(GPON)
1/2/2:42    enable       enable      working      1(GPON)
1/2/2:43    enable       enable      working      1(GPON)
1/2/2:44    enable       enable      working      1(GPON)
1/2/2:45    enable       enable      working      1(GPON)
1/2/2:46    enable       enable      working      1(GPON)
1/2/3:1     enable       disable     OffLine      1(GPON)
1/2/3:2     enable       enable      working      1(GPON)
1/2/3:3     enable       disable     OffLine      1(GPON)
1/2/3:6     enable       enable      working      1(GPON)
1/2/3:7     enable       enable      working      1(GPON)
1/2/3:8     enable       enable      working      1(GPON)
1/2/3:9     enable       enable      working      1(GPON)
1/2/3:10    enable       disable     OffLine      1(GPON)
1/2/3:12    enable       enable      working      1(GPON)
1/2/3:13    enable       enable      working      1(GPON)
1/2/3:14    enable       enable      working      1(GPON)
1/2/3:15    enable       enable      working      1(GPON)
1/2/3:16    enable       enable      working      1(GPON)
1/2/3:17    enable       enable      working      1(GPON)
1/2/3:18    enable       enable      working      1(GPON)
1/2/3:19    enable       enable      working      1(GPON)
1/2/3:20    enable       enable      working      1(GPON)
1/2/3:21    enable       enable      working      1(GPON)
1/2/3:22    enable       enable      working      1(GPON)
1/2/3:24    enable       enable      working      1(GPON)
1/2/4:1     enable       enable      working      1(GPON)
1/2/4:2     enable       disable     OffLine      1(GPON)
1/2/4:5     enable       enable      working      1(GPON)
1/2/4:6     enable       enable      working      1(GPON)
1/2/4:7     enable       disable     OffLine      1(GPON)
1/2/4:8     enable       disable     OffLine      1(GPON)
1/2/4:9     enable       enable      working      1(GPON)
1/2/4:10    enable       enable      working      1(GPON)
1/2/4:11    enable       enable      working      1(GPON)
1/2/4:12    enable       enable      working      1(GPON)
1/2/4:13    enable       enable      working      1(GPON)
1/2/5:1     enable       enable      working      1(GPON)
1/2/6:1     enable       disable     OffLine      1(GPON)
1/2/6:2     enable       disable     OffLine      1(GPON)
1/2/6:3     enable       disable     OffLine      1(GPON)
1/2/6:4     enable       enable      working      1(GPON)
1/2/7:1     enable       enable      working      1(GPON)
1/2/7:2     enable       disable     OffLine      1(GPON)
1/2/8:1     enable       enable      working      1(GPON)
1/2/8:2     enable       enable      working      1(GPON)
1/2/8:3     enable       enable      working      1(GPON)
1/2/8:4     enable       enable      working      1(GPON)
1/2/8:128   enable       enable      working      1(GPON)
1/2/9:1     enable       disable     OffLine      1(GPON)
1/2/9:2     enable       enable      working      1(GPON)
1/2/9:4     enable       disable     OffLine      1(GPON)
1/2/9:5     enable       disable     OffLine      1(GPON)
1/2/9:8     enable       enable      working      1(GPON)
1/2/9:9     enable       disable     OffLine      1(GPON)
1/2/9:10    enable       disable     OffLine      1(GPON)
1/2/9:11    enable       disable     OffLine      1(GPON)
1/2/9:12    enable       enable      working      1(GPON)
1/2/9:14    enable       disable     OffLine      1(GPON)
1/2/9:17    enable       disable     OffLine      1(GPON)
1/2/9:18    enable       disable     OffLine      1(GPON)
1/2/9:19    enable       disable     OffLine      1(GPON)
1/2/9:20    enable       disable     OffLine      1(GPON)
1/2/9:21    enable       disable     OffLine      1(GPON)
1/2/9:22    enable       enable      working      1(GPON)
1/2/9:23    enable       disable     OffLine      1(GPON)
1/2/9:24    enable       enable      working      1(GPON)
1/2/9:25    enable       enable      working      1(GPON)
1/2/9:26    enable       enable      working      1(GPON)
1/2/9:27    enable       enable      working      1(GPON)
1/2/9:28    enable       enable      working      1(GPON)
1/2/9:29    enable       disable     OffLine      1(GPON)
1/2/9:30    enable       disable     OffLine      1(GPON)
1/2/9:31    enable       disable     OffLine      1(GPON)
1/2/9:32    enable       enable      working      1(GPON)
1/2/9:33    enable       enable      working      1(GPON)
